number,L1t,L1p,Ht,Hp,L2t,L2p,O1t,O1p,N1t,N1p,C1t,C1p,O2t,O2p,N2t,N2p,O3t,O3p,N3t,N3p,C3t,C3p,Et,Ep
bro-mun-n7,1192,88.61,1249,93.69,1439,85.74,1096,98.68,1248,93.83,1317,87.97,1390,90.04,1447,89.36,1549,81.28,1602,78.54,1700,77.66,1876,89.16
bro-mun-n8,1053,113.29,1161,153.65,1306,103.64,993,114.04,1081,129.53,1140,149.69,1190,147.03,1225,128.83,1298,105.03,1347,104.41,1396,110.45,1501,118.17
bro-mun-n9,1335,228.3,1374,230.16,1457,221.93,1306,229.29,1381,229.6,1454,221.53,1514,213.54,1553,108.23,1646,99.78,1719,94.41,1772,85.63,1933,238.02
cor-man-101,2400,215.47,2478,220.59,2605,185.37,2308,233.62,2359,222.77,2461,219.69,2511,218.36,2553,211.69,2629,181.58,2692,171.72,2741,240.76,2820,176.71
cor-man-102,1879,184.29,2107,232.05,2374,140.36,1760,213.62,1942,190.83,2053,221.96,2127,230.41,2185,218.48,2304,156.32,2351,147.21,2397,222.18,2588,188.65
cor-man-103,1844,238.1,1930,247.22,2078,187.18,1695,226.67,1787,242.55,1891,243.42,1954,237.83,1982,230.07,2077,187.63,2153,175.14,2206,163.72,2305,168.34
cor-man-104,2473,239.79,2661,287.6,2799,214.8,2453,271.85,2525,273.2,2610,281.16,2661,287.58,2708,292.69,2788,218.14,2859,201.48,2932,320.43,3092,208.46
cor-man-105,2154,234.95,2286,263.14,2429,209.7,2026,276.01,2077,241.3,2210,261.06,2263,255.93,2311,251.53,2408,213.99,2453,208.45,2519,255.94,2610,260.61
cor-man-106,3471,192.3,3532,207.23,3704,188.56,3383,229.08,3444,104.04,3541,206.14,3607,198.22,3647,218.95,3750,96.71,3800,95.32,3842,85,3937,79.56
cor-man-107,1708,234.33,1816,275.85,1970,196.46,1557,222.88,1665,235.59,1782,266.14,1837,265.43,1890,269.13,1983,196.58,2016,200,2065,245.54,2135,260.05
cor-man-109,2553,241.3,2631,259.93,2768,194.74,2484,254.21,2527,241.09,2632,259.92,2675,236.45,2720,224.14,2815,162.05,2880,85.72,2937,210.79,3062,399.93
cor-man-111,2441,220.6,2603,268.64,2841,206.02,2351,251.69,2394,221.99,2463,224.89,2552,245.43,2610,265.49,2749,210.69,2791,206.07,2853,109.45,2940,102.77
cor-man-115,2069,254.42,2261,291.04,2578,215.33,2022,249.67,2152,288.22,2279,287.28,2341,278.62,2382,275.27,2515,230.92,2561,218.2,2631,232.47,2737,244.23
cor-man-117,2562.333333,173.3933333,2739,183.85,2906,134.0766667,2321,211.42,2380,180.27,2508,171.88,2570,180.72,2634,115.27,2713,81.66,2761,87.11,2825,242.32,2908,200.88
cor-man-119,2424,269.96,2495,278.8,2695,223.84,2342,268.72,2378,279.27,2516,273.37,2562,267.55,2601,271.86,2789,212.54,2854,204.3,2907,206.46,3046,220.68
cor-man-121,3073,283.74,3227,297.89,3434,213.66,2994,257.68,3064,283.76,3207,293.6,3249,292.89,3285,290.34,3381,233.47,3434,213.57,3471,210,3558,205.93
cor-man-123,2426,196.43,2501,210.94,2630,165.41,2293,231.6,2375,206.17,2474,203.92,2519,210.09,2551,200.38,2634,164.88,2683,84.69,2744,224.94,2855,239
cor-man-125,3049,216.21,3182,272.47,3366,166.4,2965,250,3016,218.08,3112,231.05,3150,233.09,3191,249.05,3274,190.74,3325,176.22,3381,215.35,3530,193.59
cor-man-127,2177,204.09,2298,217.12,2506,172.34,2026,205.07,2142,206.41,2263,212.3,2329,215.42,2377,209.08,2527,170.33,2598,171.84,2666,206.97,2768,181.36
cor-man-129,2476,242.07,2607,253.01,2767,203.82,2350,247.71,2431,243.96,2539,245.64,2621,252.68,2694,237.92,2833,184.76,2889,174.78,2961,178.87,3059,230.88
cor-man-131,1994,225.77,2072,238.43,2196,194.89,1762,223.97,1896,226.32,2004,226.99,2087,233.81,2144,235.44,2281,186.56,2330,177.56,2380,160.22,2459,150.44
cor-man-133,2582,264.51,2650,275.36,2944,184.07,2497,273.41,2553,265.04,2666,272.09,2711,255.74,2749,260.96,2879,206.24,2917,196.38,2965,179.59,3064,219.27
cor-man-135,2418,231.26,2543.5,258.71,2761.5,192.235,2266,273.24,2340,241.15,2449,249.04,2498,250.73,2548,244.44,2615,210.39,2689,199.7,2760,185.19,2871,208.56
cor-mem-101,2359,192.22,2419,197.43,2567,170.23,2184,193.58,2304,194,2416,197.03,2469,194.07,2519,190.14,2626,167.45,2663,166.43,2703,247.19,2760,170.95
cor-mem-102,2217,185.2,2358,210.56,2510,165.29,2072,171.96,2198,186.59,2300,201.56,2379,209.42,2440,202.64,2563,159.02,2610,154,2675,166.51,2825,194.14
cor-mem-103,2033,236.58,2104,249.63,2294,181.39,1929,258.2,1976,243.53,2083,243.65,2134,243.76,2174,241.02,2266,189.08,2306,179.65,2363,86.38,2471,82.55
cor-mem-104,3243,261.87,3335,285.33,3491,204.43,3122,261.77,3226,263.71,3304,280.5,3373,280.7,3419,258.2,3511,196.46,3548,148.12,3610,100,3707,58.74
cor-mem-105,2116,237.54,2242,255.85,2391,222.39,2005,232.91,2116,237.53,2232,252.82,2292,243.4,2324,243.79,2433,220.02,2465,218.53,2517,265.88,2600,263.78
cor-mem-106,2376,196.93,2500,203.02,2633,106.47,2209,93.5,2317,96.01,2417,201.22,2521,202.53,2612,224.34,2696,103.2,2743,172.02,2766,215.09,2832,200.07
cor-mem-107,2036,249.64,2152,280.34,2322,200.73,1938,259.41,2020,247.08,2110,268.23,2176,266.52,2242,242.71,2332,199.31,2371,193.93,2427,143.32,2531,180.92
cor-mem-109,2040,214.23,2208,258.66,2395,179.62,2024,214.5,2099,239.5,2199,257.69,2251,233.66,2303,231.53,2409,177.95,2475,156.22,2547,112.87,2670,114.61
cor-mem-111,2155,218.14,2245,234.99,2423,201.2,2067,256.61,2108,219.28,2212,229.36,2292,223.86,2354,222.74,2464,202.13,2515,206.65,2572,107.21,2651,214.62
cor-mem-115,3505,259.34,3602,273.73,3829,225.71,3394,292.07,3470,263.4,3619,270.09,3705,252.03,3747,251.39,3861,221.6,3926,209.12,3963,202.86,4062,306.99
cor-mem-117,3091,179.18,3322,191.49,3503,144.97,2936,210.12,3004,183.05,3116,179.94,3248,186.7,3366,169.27,3440,151.58,3478,146.45,3535,166.1,3707,127.08
cor-mem-119,3306,221.15,3521,284.56,3690,213.82,3306,220.87,3364,265.19,3488,277.2,3546,277.03,3592,270.19,3787,207.71,3842,203.51,3917,213.1,4150,190.97
cor-mem-121,2137,254.48,2254,270.32,2408,226.29,2117,266.64,2161,267.38,2267,269.25,2314,252.29,2347,256.12,2397,234.45,2426,225,2486,215,2559,211.25
cor-mem-123,2111,200.9,2174,205.57,2247,174.26,1893,207.76,2032,211.94,2165,203.11,2220,191.75,2265,176.02,2334,170.13,2379,123.64,2428,232.21,2519,241.64
cor-mem-125,2724,213.1,2907,251.07,3037,195.26,2613,217.73,2752,219.24,2838,227.12,2907,250.98,2966,251.45,3041,193.5,3074,92.43,3120,197.21,3175,171.07
cor-mem-127,2820,193.75,2985,220.36,3130,175.5,2693,191.39,2829,195.59,2938,210.62,3016,214.14,3080,209.28,3190,87.76,3241,83.79,3340,134.68,3445,192.98
cor-mem-129,2244,234.72,2325,244.38,2554,192.99,2038,224.07,2196,237.63,2266,235.49,2349,240.78,2424,236.54,2538,196.75,2589,141.21,2629,94.14,2732,233.5
cor-mem-131,1951,207.14,2116,218.79,2297,180.46,1829,211.03,1945,213.87,2029,209.29,2121,218.66,2194,206.09,2259,186.12,2310,142.84,2372,100,2420,76.91
cor-mem-133,3535.333333,251.6033333,3651.333333,297.78,3973,176.63,3497,265.0633333,3567.666667,277.4166667,3671.666667,294.1633333,3726,277.17,3770,267.8166667,3879,210.7833333,3930,193.0333333,3988,182.4,4111,184.8166667
cor-mem-135,2065,226.89,2226,253.97,2521,173.89,2011,234.85,2104,239.55,2220,253.7,2278,240.16,2317,235.56,2419,193.53,2479,180.56,2534,173.55,2620,152.2766667
cor-mom-101,2054,204.41,2235,219.02,2458,174.91,2017,204.81,2165,221.58,2262,217.04,2311,212.45,2347,211.1,2406,179.11,2456,174.59,2505,221.52,2604,184.82
cor-mom-102,2446,182.12,2577,202.95,2760,158.02,2212,213.92,2414,182.68,2511,191.28,2590,202.71,2658,189.66,2789,156.21,2839,146.96,2916,160.83,3060,174.74
cor-mom-103,2073,242.99,2143,255.58,2331,198.18,2032,259.28,2098,249.42,2152,254.66,2201,239.33,2246,230.13,2344,195.11,2385,176.73,2426,167.41,2536,173.27
cor-mom-104,3578,257.03,3717,279.47,3956,176.58,3545,266.14,3609,266.75,3712,279.23,3751,270.93,3776,269.41,3847,224.21,3901,206.28,3971,186.87,4139,239.68
cor-mom-105,3009,230.83,3158,263.64,3270,207.76,2843,223.6,2946,232.52,3088,254.85,3142,261.75,3189,261.76,3293,208.04,3358,205.71,3409,224.37,3528,254.69
cor-mom-106,2642,187.97,2765,205.39,2879,197.43,2500,222.68,2642,187.99,2730,201.32,2794,200.16,2849,218.74,3020,95.84,3086,120.99,3147,242.73,3223,249.38
cor-mom-107,2014,223.38,2148,269.35,2435,192.22,1912,223.34,2041,228.5,2161,266.84,2236,263.67,2296,231.76,2360,213.46,2407,197.93,2453,241.52,2593,224.185
cor-mom-109,2403,115.14,2500,249.11,2680,187.63,2261,214.22,2412,116.55,2512,246.59,2553,236.56,2597,234.13,2708,144.47,2779,114.75,2847,151.8,2985,246.81
cor-mom-111,2495,207.25,2607,230.17,2766,200.65,2324,216.09,2427,212.38,2595,229.28,2705,209.31,2802,206.7,2915,196.7,2981,102.55,3015,232.42,3085,227.961
cor-mom-115,3266,270.44,3417,278.77,3607,224.14,3076,284,3128,275.1,3322,270.02,3418,279.24,3513,252.62,3665,222.02,3729,215.39,3805,256.62,3929,243.58
cor-mom-117,2418,169.48,2611,176.06,2738,130.56,2341,241.93,2426,167.41,2529,165.99,2610,176.49,2675,167.24,2730,137.61,2761,112.36,2810,183.63,2938,147.09
cor-mom-119,3194,245.54,3540,295.64,3807,207.87,3119,254.96,3309,273.15,3450,290.72,3510,291.81,3573,272.14,3703,216.05,3800,208.33,3846,204.45,3979,225.3
cor-mom-121,3004,270.51,3171,292.94,3369,216.93,2957,282.82,3037,279.49,3165,292.35,3210,280.52,3247,277.57,3377,215.08,3422,97.41,3462,97,3515,96.96
cor-mom-123,2384,197.42,2470,209.86,2577,180.31,2215,195.96,2328,194.56,2429,206.34,2501,207.87,2562,188.18,2632,177.61,2668,94.2,2709,225,2867,223.6
cor-mom-125,3028.666667,216.8166667,3180.666667,258.2333333,3353.666667,142.45,2943.666667,241.2066667,3026.666667,219.4866667,3111.666667,228.15,3170.666667,245.2233333,3227.333333,249.2566667,3301.666667,189.3533333,3344.666667,145.1833333,3396,211.7533333,3518.666667,179.8366667
cor-mom-127,3164,203.62,3292,224.53,3484,180.86,3082,220.91,3122,205.42,3261,217.88,3335,210.23,3403,211.16,3495,180.31,3573,173.81,3661,160.16,3790,176.11
cor-mom-129,3169,225.01,3354,262.45,3653,162.63,3132,240.47,3204,243.41,3291,254.77,3364,262.28,3427,253.32,3522,210.1,3580,188.54,3649,164.69,3779,210.71
cor-mom-131,2947,219.93,3071,234.39,3324,186.21,2719,230.7,2922,227.42,3042,232.57,3110,231.75,3161,225.14,3247,200.52,3298,191.14,3356,182.25,3436,173.4
cor-mom-133,3538,245.97,3625,300.31,3977,178.83,3509,274.93,3574,288.11,3659,297.28,3730,269.94,3780,257.69,3860,220.6,3917,199.38,3976,178.77,4098,173.81
cor-mom-135,2418,231.26,2543.5,258.71,2761.5,192.235,2321.666667,251.9333333,2394.333333,239.9566667,2510,255.3966667,2559,245.9866667,2600,243.7933333,2687,203.8633333,2749,191.13,2807.333333,178.89,2923.666667,152.3555556
cor-mun-101,2744,203.47,2811,207.5,2965,176.73,2587,198,2688,208.98,2808,206.73,2854,201.67,2887,194.41,2974,176.33,3026,172.12,3066,87.2,3159,87.31
cor-mun-102,2375,171.54,2618,209.86,2843,148.88,2272,168.46,2433,183.02,2554,200.78,2631,209.25,2672,207.06,2777,157.11,2824,149.97,2879,149.53,3030,182.13
cor-mun-103,2880,229.75,2989,243.86,3158,182.57,2814,260.39,2855,232.55,2962,239.84,3011,240.91,3051,228.62,3164,180.64,3207,178.94,3281,166.45,3359,166.01
cor-mun-104,2735,224.05,2847,270.78,3025,175.67,2637,271.91,2715,228.45,2803,255.41,2850,271.06,2889,273.23,2957,210.94,3012,180.34,3077,189.55,3231,217.8
cor-mun-105,2654,224.95,2812,262,2919,218,2466,219.54,2613,236.01,2699,235.84,2766,251.32,2811,261.79,2901,218.99,2945,221.79,2997,267.42,3066,254.18
cor-mun-106,3387,194.39,3496,209.12,3614,197.83,3175,190.31,3356,198.99,3485,207.23,3536,201.6,3572,214.12,3730,211.56,3798,206.64,3864,206.72,3965,166.0116667
cor-mun-107,2053,209.1,2257,281.96,2454,192.91,1927,209.96,2163,244.49,2264,280.82,2306,257.28,2349,269.74,2439,197.2,2489,93.85,2542,187.96,2652,234.67
cor-mun-109,2857,229.6,2965,254.47,3176,185,2814,257.96,2859,229.14,2947,252.37,2998,241.01,3048,238.92,3158,187.45,3224,285.95,3287,372.57,3431,115.919
cor-mun-111,3137,212.24,3262,243.66,3514,204.73,3094,254.81,3129,215.66,3227,235.34,3275,242.18,3322,248.31,3455,208.81,3505,205.55,3563,299.55,3648,211.94
cor-mun-115,4428,249.48,4539,275.49,4748,233.75,4381,288.21,4451,265.9,4578,269.68,4628,273.39,4676,274.95,4790,227.26,4833,223.18,4887,224.74,5007,223.38
cor-mun-117,2178,171.52,2284,184,2477,126.7,2035,168.73,2153,177.58,2238,174.57,2307,182.63,2350,185.96,2446,137.58,2490,123.64,2548,167.61,2646,209.52
cor-mun-119,3168,280.36,3265,300.76,3425,232.13,3026,282.1,3126,295.68,3235,297.41,3294,291.27,3353,286.63,3523,214.71,3587,205.63,3660,225.2,3820,227.6966667
cor-mun-121,2892,270.69,2983,298.22,3192,224.43,2787,277.85,2842,279.79,2982,298.33,3021,272.97,3062,281.08,3158,241.24,3199,222.78,3240,112.4,3328,103.82
cor-mun-123,2646,208.98,2753,232.41,2866,181.27,2522,203.31,2625,213.77,2707,220.38,2771,231.1,2826,203.14,2918,174.34,2971,236.52,3018,236.68,3087,208.1
cor-mun-125,3313,221.14,3453,251.16,3629,168.69,3253,255.89,3312,221.14,3385,226.28,3455,251.6,3525,247.27,3590,183.82,3635,166.9,3687,222.7,3851,174.85
cor-mun-127,2602,200.38,2701,226.96,2868,180.98,2335,211.76,2584,201.54,2676,219.5,2744,224.2,2783,216.55,2917,175.42,2971,172.99,3036,172.58,3161,195.95
cor-mun-129,2943,249.31,3083,277.29,3378,135.29,2903,252.73,2946,251.25,2991,252.94,3078,275.92,3167,260.38,3272,203,3353,181.1,3398,119.15,3507,229.01
cor-mun-131,3527,221.81,3675,240.3,3929,171.74,3383,223.22,3491,227.64,3621,229.06,3678,240.45,3723,235.12,3843,190.49,3886,185.96,3930,170.82,4014,74.04
cor-mun-133,4486,244.33,4679,317.67,4998,166.99,4485,246.85,4576,279.1,4690,313.12,4737,305.83,4781,284.8,4898,205.51,4956,183.34,5023,188.84,5171,144.25
cor-mun-135,2771,235.63,2861,263.45,3002,210.58,2688,247.71,2739,239.17,2861,263.45,2901,247.07,2935,251.38,3027,207.67,3079,193.13,3128,177.93,3280,96.23
cor-man-401,2181,241.41,2283,285.46,2487,204.36,1936,232.38,2092,236.38,2186,243.98,2274,287.48,2343,288.2,2449,215.09,2493,204.76,2587,193.64,2729,233.37
cor-man-403,2101,223.12,2258,249.81,2474,171.87,2055,220.9,2173,239.32,2307,239.07,2340,218.32,2367,207.94,2467,172.79,2520,166.68,2595,145.24,2698,204.75
cor-man-405,1775,235.81,1890,252.54,2073,198.53,1724,231.81,1827,250.1,1997,227.27,2024,215.83,2049,205.89,2141,176.47,2191,106.61,2238,88.66,2339,52.11
cor-man-407,2555,241.39,2710,268.53,2947,183.73,2468,235.98,2595,256.56,2730,262.93,2768,257.84,2807,273.41,2886,207.76,2934,188.06,3013,177.53,3117,189.47
cor-man-409,3030,231.9,3137,285.61,3389,200.48,2858,235.86,2970,236.01,3096,271.37,3160,276.18,3206,290.69,3334,208.99,3409,197.77,3471,198.41,3554,209.78
cor-man-411,2519,215.83,2715,272.31,2970,168.92,2386,212.02,2532,218.1,2662,245.03,2728,269.13,2787,260.07,2875,194.31,2939,176.96,3012,167.5,3186,163.43
cor-man-413,1737,229.96,1992,319.1,2146,185.17,1659,223.3,1768,238.37,1941,312.57,2001,316.75,2048,286.49,2148,184.66,2189,222.81,2218,264.71,2269,266.02
cor-man-415,2130,223.01,2304,270.99,2384,243.51,1995,234.38,2100,236.09,2225,248.15,2264,260.71,2307,270.1,2413,116.13,2476,105.45,2546,98.68,2640,104.52
cor-man-417,2015,231.01,2127,247.62,2201,219.39,1852,255.12,1979,228.79,2125,247.51,2171,234.14,2209,218.94,2302,86.34,2340,107.96,2391,300.96,2484,254.2
cor-man-419,1815,242.37,2085,263.2,2277,176.59,1739,243.91,1854,261.4,2004,261.16,2052,265.77,2104,272.05,2183,209.13,2236,186.8,2303,167.27,2389,252.44
cor-man-423,1968,221.28,2092,240.07,2313,182.74,1808,225.07,1958,221.72,2056,235.15,2134,229.91,2167,224.25,2270,195.16,2314,182.96,2367,89.84,2519,177.85
cor-man-425,2024,200.24,2260,275.56,2523,178.95,1940,204.22,2063,203.57,2203,267.99,2267,276.2,2318,265.61,2416,200.05,2473,185.62,2553,175.68,2670,81.46
cor-man-427,2706,226.01,2864,279.8,3040,180.79,2649,229,2763,244.99,2886,276.46,2945,256.75,2999,204.62,3105,103.92,3149,100.9,3193,165.98,3281,52.8
cor-man-429,2870,240.24,2978,258.61,3154,193.36,2808,243.08,2880,245.22,3006,250.38,3062,237.58,3110,227.05,3214,99.44,3268,99.16,3331,235.9,3421,198.64
cor-man-433,2584,245.94,2824,452.28,3068,199.06,2583,245.66,2687,329.41,2773,417.08,2852,443.83,2921,380.81,3008,248.16,3081,194.95,3133,254.18,3353,253.28
cor-man-435,2381,245.67,2482,267.53,2634,196.42,2236,252.01,2320,242.63,2447,258.08,2498,264,2539,257.86,2665,191.39,2711,173.37,2768,93.41,2859,210.05
cor-man-437,2482,210.85,2710,263.85,2921,200.87,2483,210.54,2550,238.97,2681,260.33,2742,257.37,2791,248.63,2953,197.82,2995,190.67,3057,181.65,3257,177.94
cor-man-439,2733,246.27,2977,304.87,3203,214,2716,245.91,2868,280.84,2996,301.11,3049,289.92,3092,290.24,3190,218.82,3257,210.63,3333,215.24,3470,213.2
cor-man-441,2229,215.84,2389,271.79,2665,168.84,2125,205.55,2229,215.81,2375,268.01,2419,253.73,2457,246,2539,208.76,2589,190.06,2663,169.29,2853,170.33
cor-man-445,2915,225.71,3091,271.47,3259,186,2891,228.95,2965,245.48,3047,259.14,3120,269.16,3179,246.58,3275,181.18,3337,174.4,3437,89.12,3539,100.496
cor-mem-401,2207,232.37,2319,260.86,2522,194.15,2068,231.63,2159,238.42,2286,247.47,2347,252.42,2399,246.67,2494,201.46,2530,191.01,2618,122.88,2731,260.29
cor-mem-403,1830,189.52,1961,204.01,2067,184.4,1825,184.64,1883,207.02,1992,198.03,2045,193.55,2083,185.1,2172,169.54,2217,168.29,2269,162.63,2374,192.59
cor-mem-405,2332,257.74,2387,260.79,2593,190.57,2236,268.1,2300,262.08,2403,258.29,2462,242.7,2501,226.61,2613,185.48,2654,160,2701,150,2808,144.55
cor-mem-407,2245,237.3,2410,267.5,2665,171.75,2207,230.69,2304,251.62,2426,264.28,2475,257.27,2518,252.01,2595,194.03,2648,175.76,2689,171.02,2821,176.3
cor-mem-409,2296,227.51,2510,274.81,2804,201.16,2275,224.5,2366,235.7,2477,255.46,2556,247.74,2615,253.35,2731,216.6,2811,200.13,2892,201.3,3030,204.3
cor-mem-411,2635,215.09,2807,245.9,3096,174.76,2570,104.4,2628,213.72,2751,225.36,2826,241.67,2887,250.41,2973,201.85,3013,193.12,3125,173.53,3291,202.7
cor-mem-413,2088,231.82,2305,336.01,2432,204.74,2010,231.48,2152,255.75,2276,317.32,2358,302.82,2423,220.54,2470,189.51,2514,183.74,2562,252.94,2646,208.32
cor-mem-415,1967,221.07,2104,248.97,2329,193.99,1803,226.24,1938,227.02,2047,236.78,2110,248.75,2163,256.02,2266,219.46,2317,197.53,2363,203.61,2462,229.59
cor-mem-417,2551,238.41,2691,249.2,2822,199.89,2500,257.6,2598,240.6,2704,248.23,2820,200.66,2896,247.17,2981,191.86,3035,94.1,3119,283.35,3211,172.0433333
cor-mem-419,1741,233.9,1946,265.01,2105,191.62,1677,233.66,1789,244.93,1930,267.59,1980,238.06,2021,250.65,2107,191.19,2141,180.54,2194,190.47,2270,233.06
cor-mem-423,2487,226,2607,251.32,2840,183.06,2336,221.31,2451,226.48,2561,241.28,2633,249.35,2691,229.64,2770,206.7,2845,171.85,2892,82.88,3003,197.16
cor-mem-425,2504,209.55,2677,259.68,2945,178.56,2364,213.86,2504,209.55,2640,255.61,2725,246.06,2767,236.04,2887,184.7,2936,180.14,3010,94.18,3137,182.9
cor-mem-427,2620,214.92,2779,260.71,2913,209.93,2531,212.51,2687,243.24,2799,254.43,2894,204.9,2966,195.92,3039,82.47,3109,127.55,3144,178.29,3265,205.33
cor-mem-429,2046,236.82,2178,271.71,2354,221.42,1956,240.41,2070,254.22,2190,268.61,2252,244.85,2307,233.13,2371,134.96,2411,110.32,2448,230.23,2501,249.53
cor-mem-433,2115,284.88,2342,395.75,2524,215.74,2045,268.7,2159,311.61,2244,352.28,2362,377.18,2455,282.93,2534,215.35,2570,126.69,2619,102.48,2804,240.67
cor-mem-435,3277,229.05,3394,246.38,3544,197.29,3152,225.52,3243,237.57,3362,238.78,3422,240,3470,237.8,3575,97.02,3620,96.14,3684,93.33,3849,206.44
cor-mem-437,2533,229.32,2685,251.38,2978,186.62,2469,133.37,2551,237.39,2652,246.91,2720,246.62,2779,237.92,2881,209.09,2944,195.89,3030,180.76,3179,183.82
cor-mem-439,2410,266.98,2532,317.96,2721,206.18,2333,253.02,2421,273.93,2562,311.83,2612,273.64,2656,256.44,2750,201.37,2806,193.5,2880,185.54,3095,197.38
cor-mem-441,2463,223.56,2621,269.83,2877,164.63,2338,209.33,2462,224.54,2588,274.58,2649,254.19,2696,247.47,2800,186.59,2846,174.53,2911,158.14,3043,189.99
cor-mem-445,2915,225.71,3091,271.47,3259,186,2891,228.95,2965,245.48,3047,259.14,3120,269.16,3179,246.58,3275,181.18,3337,174.4,3437,89.12,3539,100.496
cor-mom-401,3815,237.78,3941,280.87,4138,198.4,3751,276.18,3799,238.92,3883,258.5,3971,264.03,4019,251.72,4100,215.12,4138,198.33,4215,189.25,4367,237.01
cor-mom-403,2786,215.77,2902,233.06,3099,175.46,2742,207.31,2807,223.52,2916,231.52,2980,224.65,3020,207.71,3147,170.17,3199,159.46,3259,145,3341,140.63
cor-mom-405,2053.5,246.775,2138.5,256.665,2333,194.55,1980,249.955,2063.5,256.09,2200,242.78,2243,229.265,2275,216.25,2377,180.975,2422.5,106.61,2469.5,88.66,2573.5,98.33
cor-mom-407,2397,261.34,2541,285.44,2796,175.69,2260,275.15,2416,275.37,2520,286.03,2605,260.26,2648,240.06,2745,189.36,2793,175.99,2857,170.23,2962,177.51
cor-mom-409,3359,244.95,3460,275.44,3811,191.04,3241,241.75,3297,244.82,3396,260.38,3492,252.64,3556,264.94,3688,210.4,3762,194.52,3839,194.46,3942,95.34
cor-mom-411,3024,213.5,3142,271.1,3322,177.26,2802,202.67,2969,216.92,3051,229.39,3141,271.26,3215,246.77,3315,179.37,3373,166.83,3438,106.42,3548,179.31
cor-mom-413,2671,214.6,2907,302.5,3005,218.84,2627,216.43,2745,243.48,2882,309.36,2929,270.8,2966,273.14,3056,148.97,3094,96.61,3148,242.13,3263,233.71
cor-mom-415,3084,221.25,3283,259.7,3537,193.02,3006,225.56,3124,223.14,3266,254.26,3319,254.65,3352,259.27,3457,214.38,3505,200.72,3601,212.29,3682,191.66
cor-mom-417,2260,219.61,2437,249.48,2601,200.26,2165,215.38,2263,219.68,2363,240.1,2434,249.05,2499,249.67,2588,203.83,2642,104.42,2702,263.6,2865,246.34
cor-mom-419,2696,245.47,2904,281.97,3112,206.42,2616,238.85,2737,271.04,2889,280.86,3000,261.79,3076,238.95,3161,198.49,3211,193.66,3265,193.23,3349,166.32
cor-mom-423,3259,208.9,3427,225.62,3575,197.23,3109,211.32,3259,208.89,3382,224.93,3452,224.78,3521,213.02,3619,156.95,3656,85.89,3694,131.02,3774,211.01
cor-mom-425,2140,198.83,2361,284.2,2505,160.51,2029,230.61,2175,206.83,2294,268.02,2382,281.46,2440,249.88,2558,92.84,2607,90.59,2665,92.46,2787,176.46
cor-mom-427,3695,226.15,3801,263.39,3998,174.28,3566,231.59,3718,242.58,3836,259.62,3919,212.65,3991,188.41,4071,164.64,4121,192.85,4180,196.68,4256,209.09
cor-mom-429,3211,244.46,3385,280.94,3588,211.28,3158,251.83,3263,253.87,3412,269.5,3469,248.45,3534,228.86,3628,98.29,3675,98.8,3718,196.28,3827,225.02
cor-mom-433,2617,300.63,2759,394.28,3067,210.92,2457,295.36,2646,326.19,2762,392.63,2889,251.92,2973,336.64,3069,210.6,3118,205.62,3177,102.04,3275,82.94
cor-mom-435,3225,231.72,3324,245.88,3559,189.18,3053,221.63,3162,232.2,3294,243.07,3347,240.31,3386,244.57,3476,207.09,3525,196.71,3578,99.21,3748,198.19
cor-mom-437,3523,219.07,3712,254.29,3980,191.93,3496,254.8,3571,233.1,3677,248.92,3753,250.19,3793,243.44,3875,216.6,3939,203.7,4010,185.1,4161,235.56
cor-mom-439,2882,219.83,3106,293.95,3298,217.62,2848,219.3,2978,265.15,3107,293.87,3158,265.92,3198,277.19,3275,224.8,3338,216.72,3457,213.25,3632,208.19
cor-mom-441,2425,207.81,2628,275.66,2905,171.51,2355,204.95,2465,215.48,2576,260.13,2652,263.19,2702,242.7,2786,201.77,2839,188.41,2922,167.13,3082,194.09
cor-mom-445,2915,225.71,3091,271.47,3259,186,2891,228.95,2965,245.48,3047,259.14,3120,269.16,3179,246.58,3275,181.18,3337,174.4,3437,89.12,3539,100.496
cor-mun-401,2193,237.58,2291,284.06,2436,217.73,2008,237.73,2119,237.97,2202,241.53,2301,282.03,2378,270.97,2483,122.3,2538,117.44,2616,116.71,2765,246.94
cor-mun-403,3775,189.68,3989,237.38,4265,163.39,3773,189.96,3846,225.28,3935,236.32,4016,227.96,4057,217.21,4146,182.72,4206,179.02,4268,163.08,4370,191.47
cor-mun-405,2053.5,246.775,2138.5,256.665,2333,194.55,2695,263.12,2752,258.76,2845,251.24,2931,245.39,2991,221.8,3081,184.8,3145,156.32,3190,145,3259,135.12
cor-mun-407,2821,219.94,3006,283.51,3246,180.34,2818,221.29,2897,275.81,2965,276.85,3046,277.03,3122,254.98,3182,206.78,3231,184.85,3290,172.54,3432,190.83
cor-mun-409,2812,231.01,2941,286.89,3175,202.16,2670,228.28,2776,231.16,2896,268.82,2969,276.69,3028,260.2,3146,207.41,3190,200.98,3255,98.05,3375,113.55
cor-mun-411,3364,223.3,3462,266.09,3698,181.75,3222,224.41,3287,225.41,3381,229.54,3470,266.38,3551,252.06,3631,204.91,3702,180.72,3774,169.79,3904,183.89
cor-mun-413,2205,230.55,2445,333.04,2593,192.31,2152,228.33,2272,249.22,2414,313.55,2470,315.92,2510,296.84,2601,189.49,2641,90.03,2689,207.62,2785,247.35
